trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.01, 'e': 0.2991904523641087}",25,0,-243.61819348717447,"{0: 9, 1: 2, 2: 10, 3: 1, 4: 3}",0
86,False,"{'a': 0.01, 'e': 0.2962134576224242}",20,0,-127.7296032518645,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
87,False,"{'a': 0.01, 'e': 0.2932660844733473}",25,0,-173.92068820946824,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
88,False,"{'a': 0.01, 'e': 0.29034803817710697}",20,0,-122.96916939925254,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.2874590269266418}",20,0,-195.90686475931454,"{0: 4, 1: 2, 2: 11, 3: 2, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.28459876181841937}",20,0,-144.94151417059587,"{0: 7, 1: 1, 2: 11, 3: 0, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.28176695682354513}",20,0,-83.17626277525575,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.27896332875915986}",25,0,-206.76576285863356,"{0: 7, 1: 5, 2: 11, 3: 0, 4: 2}",0
93,False,"{'a': 0.01, 'e': 0.27618759726012077}",25,0,-175.46847848624492,"{0: 9, 1: 3, 2: 11, 3: 1, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.27343948475096475}",30,0,-142.11287423238116,"{0: 19, 1: 7, 2: 1, 3: 0, 4: 3}",0
95,False,"{'a': 0.01, 'e': 0.2707187164181508}",20,0,-91.63129337304822,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.2680250201825784}",20,0,-139.32786753509183,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
97,False,"{'a': 0.01, 'e': 0.2653581266723792}",20,0,-153.87905759642595,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
98,False,"{'a': 0.01, 'e': 0.26271776919597967}",30,0,-305.3238559703988,"{0: 9, 1: 6, 2: 10, 3: 1, 4: 4}",0
99,False,"{'a': 0.01, 'e': 0.26010368371543197}",20,0,-148.2078385032928,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
100,False,"{'a': 0.01, 'e': 0.2575156088200096}",20,0,-182.88593598374433,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
101,False,"{'a': 0.01, 'e': 0.2549532857000663}",25,0,-192.0703535779091,"{0: 10, 1: 4, 2: 8, 3: 1, 4: 2}",0
102,False,"{'a': 0.01, 'e': 0.2524164581211548}",20,3,-159.80642833275448,"{0: 6, 1: 1, 2: 8, 3: 0, 4: 2}",1
